#,tipman_id,full_name,rank,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,score,source_id,overall_coefficient,new_coefficient
1,2013,Γιάννης Γιαννούλας,16,398,1695,466,276.5177910679937,1282,6,719,557,15,0,,423.39724420058906,492.40313792336553
2,1848,Θοδωρής Χρονόπουλος,1000,0,0,0,0,0,0,0,0,0,0,,0,0
3,5882,Supervisor,1000,0,0,0,0,0,0,0,0,0,0,,0,0
4,3107,Παναγιώτης Τράγος,21,303,443,222,203.7667916890323,115,2,54,59,25,0,,30.595592816100105,37.37000747869295
5,1845,Πάνος Ζάρρας,3,497,2465,1123,351.6812993723271,1933,70,965,898,35,0,,549.8638548841748,830.6544587589294
6,1842,Νίκος Ρεσπέρης,22,12,32,29,43.371461116973286,18,0,15,3,2,0,,6.399481104481105,1.3783783783783785
7,3160,Γιώργος Φραδελάκης,4,488,1564,1028,217.0577268975213,1029,13,532,484,47,0,,257.3072811272731,552.3935550580494
8,2441,Γιώργος Φράγκος,1,507,1663,1185,322.3967978784208,1132,14,553,565,24,0,,343.9712525814045,657.8821461252458
9,1838,Δημήτρης Καναβαράκης,10,365,958,582,197.79198982162455,576,11,311,254,17,0,,174.31211898415137,314.15321398245334
10,2463,Βασίλης Τσαπραλής,19,347,1155,278,242.64233626523213,793,6,457,330,15,0,,297.9624776376912,311.0905486784475
11,1972,Γιώργος Κούλης,5,257,1152,996,354.55641992206256,891,28,393,470,4,0,,280.18678031900686,513.6306213297787
12,2001,Αντώνης Τσούτης,9,539,2039,618,198.26987699182496,1488,12,940,536,12,0,,489.72691597121946,642.4906296453008
13,1960,Μιχάλης Σινάκος,15,431,1372,478,223.28144710733272,930,4,536,390,11,0,,308.69970449546327,401.4397579933358
14,2501,Αλέξανδρος Αντωνίου,14,194,946,507,223.4854344599664,739,9,376,354,13,0,,199.17736517798448,302.3504180882994
15,2076,Γιάννης Δρόσος,18,147,883,298,114.73839384213346,726,3,481,242,10,0,,231.1354525131154,297.8280337196784
16,2450,Ανέστης Ζαχαράκης,8,345,1255,693,254.13501983171903,898,4,502,392,12,0,,313.9496367379436,473.6635639940946
17,2439,Μάκης Πορτούλας,11,258,932,555,204.23932451755792,660,4,344,312,14,0,,175.01073809977294,302.7613711169128
18,2460,Γιώργος Πετρής,7,363,1358,931,218.92104727723734,977,19,466,492,18,0,,201.41821521796666,460.39398779350006
19,2062,Θοδωρής Χαρόπουλος,13,302,994,517,210.98156377542477,672,14,357,301,20,0,,200.06510082746243,311.43111074869324
20,2149,Άκης Αχλατλής,12,727,1303,523,231.9280440934958,491,11,243,237,85,0,,147.60614642536743,253.55107767965401
21,1853,Γιάννης Μπαλαμπάνης,2,386,1334,1169,183.54047616515365,926,16,551,359,22,0,,293.0789386930064,651.6086386356685
22,3170,Θάνος Σολούκος,23,4,19,11,6.881663387933864,15,0,15,0,0,0,,3.0966883723186247,4.772418058132343
23,2155,Πολύκαρπος Σεπεκίδης,20,138,511,248,149.77351988810142,373,1,216,156,0,0,,109.27338694491908,145.26260225675406
24,1832,Κώστας Ζάγκας,6,502,1956,986,295.69891484714947,1420,14,786,620,34,0,,464.6307711132706,715.9032718330757
25,1835,Γιώργος Τεριακής,17,314,812,404,344.62043449507496,494,7,223,264,4,0,,213.6906143977579,235.4722415880255
